name;open;high;low;close;volume;marketCap;timestamp
"2781";13.29581897;18.89896389;11.99819283;14.21537558;153864438.03;474718217.2;"2021-05-24T00:00:00.000Z"
"2781";14.21634159;19.24738417;12.52777912;15.72128987;156438957.89;525007774.54;"2021-05-31T00:00:00.000Z"
"2781";15.68913667;22.29728376;13.57809397;15.68096516;259589747.07;523661142.97;"2021-06-07T00:00:00.000Z"
"2781";15.78643981;19.07607021;14.64897784;18.40140842;167217487.31;614509532.12;"2021-06-14T00:00:00.000Z"
"2781";18.44706536;18.44706536;8.2814704;10.31770898;155563935.77;344556806.43;"2021-06-21T00:00:00.000Z"
"2781";10.25084522;12.44466309;9.64512729;10.96466498;104577891.16;366161708.55;"2021-06-28T00:00:00.000Z"
"2781";10.92502074;12.91414359;10.23548025;11.36536872;99180155.1;379543090.32;"2021-07-05T00:00:00.000Z"
"2781";11.36487441;11.44893025;8.16365552;9.03162368;71294236.45;301608372.18;"2021-07-12T00:00:00.000Z"
"2781";9.01231045;10.94336573;7.1070517;10.01180995;74376107.87;334341399.63;"2021-07-19T00:00:00.000Z"
"2781";10.02859612;13.80627763;8.8900968;11.52957826;163450377.47;385026818.68;"2021-07-26T00:00:00.000Z"
"2781";11.50570176;16.49723732;10.70593923;14.9656194;134375172.57;499772385.21;"2021-08-02T00:00:00.000Z"
"2781";14.92438247;16.86392677;13.89435485;16.84768762;89478666.1;562623490.59;"2021-08-09T00:00:00.000Z"
"2781";16.83819406;35.86042076;16.78914412;28.82169287;770678048.61;962491815.71;"2021-08-16T00:00:00.000Z"
"2781";28.82162737;50.0317512;23.62307444;42.55928342;836794986.5;1421254544.73;"2021-08-23T00:00:00.000Z"
"2781";42.65860042;70.04322691;39.0319013;50.09644151;1581844233.56;1672955685.35;"2021-08-30T00:00:00.000Z"
"2781";50.07421756;74.03313188;42.02520183;59.77938102;1269376923.57;1996314555.07;"2021-09-06T00:00:00.000Z"
"2781";59.81283317;59.83610693;47.9520166818;49.7760108207;354337889.22;1662254998.33;"2021-09-13T00:00:00.000Z"
"2781";49.7222814003;54.820028989;34.1988801004;43.2031032465;438090828.25;1442754715.19;"2021-09-20T00:00:00.000Z"
"2781";43.2617038169;58.8439424114;38.0702624456;57.5141858307;324749829.62;1920669039.08;"2021-09-27T00:00:00.000Z"
"2781";57.5007003222;69.6957046616;48.2440025919;58.0635690608;580238435.87;1939015527.78;"2021-10-04T00:00:00.000Z"
"2781";57.9503482868;64.0291109229;49.3683655747;51.5137606308;270174845.68;1720286633.66;"2021-10-11T00:00:00.000Z"
"2781";51.5436174098;58.0086161237;48.5890260855;51.4623234577;213769088.19;1718568904.64;"2021-10-18T00:00:00.000Z"
"2781";51.3403542311;60.4240385378;45.2624518039;54.815631765;364105669.34;1830551632.92;"2021-10-25T00:00:00.000Z"
"2781";54.8723791713;90.9400442087;50.5475191653;76.2041390715;1665786418.83;2544814439.26;"2021-11-01T00:00:00.000Z"
"2781";76.4526625831;79.8429153094;63.4808064057;70.0276786032;628559528.74;2338553388.68;"2021-11-08T00:00:00.000Z"
"2781";70.1498711189;72.8605568196;51.1964389214;64.4799964334;717148917.56;2153290201.38;"2021-11-15T00:00:00.000Z"
"2781";64.4068813166;66.3741496901;52.0292614806;57.9667253376;618344163.68;1935781460.6;"2021-11-22T00:00:00.000Z"
"2781";57.957623228;62.8356112073;38.0656282856;44.852747878;428240397.45;1497844104.42;"2021-11-29T00:00:00.000Z"
"2781";44.9770853542;49.8551558811;39.2470458782;41.9040715728;238649929.92;1399373940.86;"2021-12-06T00:00:00.000Z"
"2781";41.8336240452;60.02531903;35.2293769126;59.2160993191;437874075.07;1977503931.15;"2021-12-13T00:00:00.000Z"
"2781";59.108976621;68.64922887;50.4088241062;61.6859666403;515815442.51;2059984411.85;"2021-12-20T00:00:00.000Z"
"2781";61.6874130672;66.4778316928;52.9394138964;60.1077990177;337094378.78;2007281975.97;"2021-12-27T00:00:00.000Z"
"2781";60.1209709863;68.6264975242;45.4314335105;50.2981680308;536658397.57;1679692282.24;"2022-01-03T00:00:00.000Z"
"2781";50.3105325216;54.2900441218;43.7775383559;49.2390989777;341264709.16;1644324987.87;"2022-01-10T00:00:00.000Z"
"2781";49.2529679245;49.5687689948;27.7905661114;34.3123126297;312600391.83;1145849420.89;"2022-01-17T00:00:00.000Z"
"2781";34.3119792382;37.6954975006;27.5047725106;35.9570098358;306900458.34;1200773592.33;"2022-01-24T00:00:00.000Z"
"2781";35.9555439121;41.6962500387;33.5432101416;38.0255214311;301187280.59;1269850918.57;"2022-01-31T00:00:00.000Z"
"2781";38.0257661843;42.3043411768;31.456260551;32.3241922178;440861211.84;1079456734.19;"2022-02-07T00:00:00.000Z"
"2781";32.2725096325;35.5553676362;25.5941121801;26.1178253187;326171435.02;872196967.29;"2022-02-14T00:00:00.000Z"
